source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_malibu,SL_aua,SL_zvartnoc,SL_dalma,SL_yerevan_mall,SL_shumyan_cemetery,SL_nork_cemetery,SL_central_cemetery,SL_davtashen_cemetery,SL_zeytun_cemetery,SL_yerablur,SL_avan_cemetery,SL_baghramyan_subway,SL_shengavit_subway,SL_barekamutyun_subway,SL_yeritasardakan_subway,SL_zoravar_subway,SL_sasunci_subway,SL_gorcarain_subway,SL_gergin_subway,SL_charbakh_subway,SL_avan,SL_massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bnakaran,d112604,138000.0,92.0,3.0,5.0,14.0,1.0,0,0,0,0,0,0,0,0,44.496078271164,40.200501064183,1,0,0,0,1,0,0,0,"(40.200501064183, 44.496078271164)",2282,2187,1145,9729,2466,5028,3395,4391,6616,2993,4459,5818,6536,411,6241,405,2571,3531,5189,6612,5698,6985,7623,6777,5,14,12,1,7,1,6,0,1,1,0,0,0,2,0,0,0,0
bnakaran,d117521,110000.0,60.0,2.0,2.0,6.0,1.0,0,0,0,1,0,0,0,0,44.532505576721,40.202521743264,0,0,0,1,1,0,0,0,"(40.202521743264, 44.532505576721)",2358,3003,2633,12528,4558,5903,6496,1624,5776,5239,1603,8237,3458,3341,7532,3242,2106,3885,5747,7413,7188,8643,4623,6852,0,4,6,3,1,5,2,1,2,1,0,0,2,0,0,10,0,0
bnakaran,d117535,225000.0,72.0,2.0,10.0,10.0,1.0,0,0,0,1,0,0,0,0,44.511125509262,40.18154981218,0,0,1,0,1,0,0,0,"(40.18154981218, 44.511125509262)",598,314,1335,9946,1944,3044,5012,3278,4154,5457,4547,5470,6061,2283,4605,2190,906,1152,3015,4623,4235,5688,7350,4447,10,6,15,5,5,7,11,3,0,3,0,2,1,4,0,3,0,0
bnakaran,d117037,120000.0,100.0,3.0,6.0,9.0,2.0,0,0,0,0,0,0,0,0,44.519765730163,40.186124261034,0,0,1,0,1,0,0,0,"(40.186124261034, 44.519765730163)",397,1056,1477,10809,2771,3788,5558,2412,4251,5488,3689,6355,5170,2529,5413,2420,14,1778,3665,5320,5081,6542,6457,4919,11,9,34,3,7,5,8,0,0,3,2,0,2,1,0,4,0,0
bnakaran,d110742,60000.0,60.0,2.0,3.0,12.0,1.0,1,0,1,0,0,0,0,0,44.512461830688,40.196316774051,1,0,0,0,1,0,0,0,"(40.196316774051, 44.512461830688)",1168,1522,805,10697,2796,4661,4780,2941,5537,4237,3380,6465,5282,1590,6146,1482,1288,2790,4660,6253,5710,7123,6460,6069,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
bnakaran,d114626,300000.0,150.0,4.0,12.0,15.0,2.0,1,0,0,1,0,0,0,0,44.511871411391,40.185454149571,1,0,0,0,1,0,0,0,"(40.185454149571, 44.511871411391)",280,423,999,10155,2110,3478,4930,3076,4485,5131,4184,5732,5791,2019,5020,1917,685,1582,3453,5061,4631,6076,7060,4870,13,8,21,2,5,6,4,5,0,3,2,0,1,2,0,2,0,0
bnakaran,d117540,385000.0,92.0,2.0,8.0,9.0,1.0,1,0,1,1,0,0,0,0,44.512879,40.17787,1,0,0,0,1,0,0,0,"(40.17787, 44.512879)",923,711,1769,9963,2079,2711,5310,3325,3734,5884,4774,5437,6162,2696,4324,2606,1102,741,2632,4266,4000,5463,7469,4023,7,1,16,0,4,14,11,1,0,1,0,0,0,0,1,0,0,0
bnakaran,d117538,147500.0,70.0,2.0,10.0,10.0,2.0,0,0,0,1,0,1,0,0,44.508505728836,40.180659731228,0,0,1,0,0,1,0,0,"(40.180659731228, 44.508505728836)",815,270,1353,9704,1711,2889,4844,3521,4206,5429,4769,5226,6303,2227,4416,2141,1147,1094,2899,4480,4028,5476,7589,4384,11,7,22,4,2,7,8,3,0,2,0,2,2,3,0,3,0,0
bnakaran,d117539,385000.0,92.0,3.0,8.0,9.0,2.0,1,0,0,1,0,0,0,0,44.514410920112,40.188599584974,1,0,0,0,1,0,0,0,"(40.188599584974, 44.514410920112)",294,822,946,10486,2444,3876,5052,2789,4689,4984,3784,6098,5440,1998,5429,1889,535,1941,3830,5451,5042,6486,6695,5201,12,6,21,1,3,1,7,2,0,1,0,0,3,3,0,0,0,0
bnakaran,d104622,280000.0,140.0,3.0,5.0,8.0,1.0,1,0,1,1,0,0,0,0,44.514140931212,40.180283441678,1,0,0,0,0,0,1,0,"(40.180283441678, 44.514140931212)",640,606,1581,10145,2185,3000,5302,3103,3895,5714,4495,5641,5921,2558,4609,2462,820,1021,2916,4554,4276,5737,7222,4280,17,4,19,3,3,10,11,3,0,3,0,1,1,1,0,2,0,0
