,source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Elevator,F_Furniture,F_Heating System,F_Security,F_Internet,F_Balcony,F_Air Conditioner,latitude,longitude
184,myrealty,141403,750000,115,3,12,16,Monolit,New/Excellent Condition,2,0,1,1,1,0,1,0,1,44.50439786901182,40.18091474247
185,myrealty,141400,139000,60,2,4,5,Stone,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.499155086504345,40.19562050194883
186,myrealty,141398,152000,64,2,5,5,Stone,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.51240035,40.1775186
187,myrealty,141388,160000,68,2,7,10,Other,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.50384769146143,40.19855807840442
188,myrealty,141378,900000,150,4,12,14,Monolit,New/Excellent Condition,2,1,1,1,1,0,1,0,1,44.51959732658925,40.20241187184684
189,myrealty,141377,125000,71,2,6,9,Panel,New/Excellent Condition,1,0,1,1,1,0,1,1,1,44.52473536231635,40.20625843913501
190,myrealty,141374,690000,110,3,14,15,Monolit,New/Excellent Condition,1,1,0,1,1,0,1,0,1,44.51863665459219,40.17606564344017
191,myrealty,141372,275000,110,4,14,14,Monolit,New/Excellent Condition,2,1,1,1,1,0,1,0,1,44.489355959454166,40.21403837276494
192,myrealty,142309,173000,72,2,5,9,Panel,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.499437857296144,40.19210576699806
193,myrealty,141349,550000,172,6,5,5,Stone,Good Condition,3,0,0,0,1,0,0,0,0,44.50449735,40.1832187
194,myrealty,141346,155000,50,2,5,9,Panel,New/Excellent Condition,1,0,1,1,1,1,1,0,1,44.499472776670245,40.180107053322125
195,myrealty,141345,320000,81,2,5,10,Monolit,New/Excellent Condition,2,1,0,0,0,0,0,0,0,44.51959732658925,40.20241187184684
196,myrealty,141344,230000,42,1,4,20,Monolit,New/Excellent Condition,1,1,0,0,0,0,0,0,0,44.51166722152143,40.182206184659805
