,source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude
403,bars,4-3-1328,168000,100.0,3.0,8.0,14.0,Other,Good Condition,2.0,0,0,0,0,1,0,0,1,44.5046635,40.21198605
404,bars,4-3-1276,378000,158.0,4.0,12.0,15.0,Other,Good Condition,3.0,0,1,0,0,1,1,0,1,44.499155086504345,40.19562050194883
405,bars,1-3-2066,745000,149.0,4.0,3.0,3.0,Other,Good Condition,2.0,0,0,0,0,0,0,0,0,44.5776738850503,40.217118108862934
406,bars,1-3-2065,370000,200.0,4.0,3.0,3.0,Stone,Good Condition,3.0,0,0,0,0,0,1,0,0,44.5180200101794,40.18203709652422
407,bars,1-N-320,350000,75.0,3.0,6.0,10.0,Other,Good Condition,1.0,0,0,0,0,0,0,0,0,44.525275644939626,40.18489525304254
408,bars,1-B-96,280000,73.0,3.0,3.0,10.0,Other,Good Condition,2.0,0,0,0,0,1,1,0,1,44.51863665459219,40.17606564344017
409,bars,1-N-185,320000,210.0,4.0,5.0,7.0,Other,Good Condition,3.0,0,1,0,1,1,1,0,0,44.50948029563954,40.17885352616499
410,bars,1-N-98,1100000,417.0,7.0,5.0,6.0,Other,Good Condition,2.0,0,1,1,1,1,1,0,1,44.50948029563954,40.17885352616499
411,bars,1-N-304,400000,178.0,3.0,13.0,21.0,Other,Good Condition,2.0,0,0,0,0,0,0,0,0,44.519048808509375,40.177015330930764
412,bars,1-3-2036,290000,140.0,4.0,3.0,8.0,Other,Needs Renovation/Repair,2.0,0,0,0,1,1,1,0,1,44.583870697678144,40.21673211791397
413,bars,1-3-2064,350000,110.0,4.0,1.0,3.0,Stone,Good Condition,2.0,0,0,0,1,0,1,0,0,44.5044544,40.19219245
414,bars,1-3-2027,250000,103.0,3.0,9.0,12.0,Panel,Good Condition,1.0,0,0,0,0,1,1,0,1,44.514048989347714,40.1861605885798
415,bars,6-D3-194,116000,97.0,3.0,2.0,10.0,Other,Good Condition,1.0,0,1,0,0,1,1,0,1,44.47752986786994,40.21777640245817
416,bars,4-3-1169,510000,238.0,5.0,4.0,4.0,Other,Good Condition,2.0,0,1,0,1,1,1,0,1,44.5388218,40.222082400000005
417,bars,1-N-328,420000,85.0,3.0,3.0,6.0,Other,Good Condition,2.0,0,1,0,0,1,1,0,0,44.583870697678144,40.21673211791397
418,bars,1-B-107,375000,122.0,3.0,8.0,16.0,Other,Needs Renovation/Repair,2.0,1,0,0,0,0,0,0,1,44.55827345658594,40.199176396159615
419,bars,1-3-1918,534000,178.0,4.0,4.0,5.0,Other,Good Condition,2.0,0,0,0,1,1,1,0,0,44.514048989347714,40.1861605885798
420,bars,1-2-187,146000,71.0,2.0,9.0,14.0,Panel,Good Condition,1.0,0,0,0,0,1,0,0,0,44.499472776670245,40.180107053322125
421,bars,1-3-2061,230000,110.0,4.0,2.0,4.0,Stone,Good Condition,2.0,0,1,0,1,0,1,0,0,44.519048808509375,40.177015330930764
422,bars,6-Z4-250,230000,123.0,4.0,3.0,5.0,Stone,Good Condition,1.0,0,1,0,1,1,0,0,0,44.462313741425774,40.138949454975524
423,bars,1-3-1988,108000,88.0,3.0,6.0,16.0,Panel,Needs Renovation/Repair,1.0,0,0,0,0,0,0,0,0,44.5273774,40.17699785
424,bars,4-3-1926,420000,143.0,5.0,3.0,5.0,Other,Good Condition,2.0,0,0,0,0,0,1,0,0,44.52141545745753,40.160291821818525
425,bars,1-3-1238,450000,169.0,4.0,4.0,4.0,Other,Good Condition,1.0,0,1,0,1,0,1,0,0,44.52381655212627,40.19066524195801
426,bars,1-2-683,300000,64.19,2.0,3.0,14.0,Other,Good Condition,1.0,0,0,1,0,1,1,0,0,44.55827345658594,40.199176396159615
427,bars,6-Z4-252,156000,119.0,4.0,9.0,11.0,Stone,Good Condition,2.0,0,0,0,0,0,0,0,0,44.52706263472466,40.205140244623664
428,bars,1-3-1913,1200000,374.35,5.0,3.0,12.0,Panel,Good Condition,2.0,0,0,0,1,1,0,0,1,44.583870697678144,40.21673211791397
429,bars,1-3-211,770000,337.0,5.0,5.0,5.0,Stone,Good Condition,3.0,0,1,0,1,0,1,0,1,44.512115310889925,40.18645225816211
